<DATE>;;;;;close
20200825;;;;;247200
20200825;;;;;249002
20200825;;;;;248732
20200825;;;;;248329
20200825;;;;;246400
20200825;;;;;246600
20200825;;;;;245500
20200825;;;;;249500
20200825;;;;;252044
20200825;;;;;252304
20200825;;;;;252528
20200825;;;;;251777
20200825;;;;;252500
20200826;;;;;253112
20200826;;;;;254328
20200826;;;;;254475
20200826;;;;;254000
20200826;;;;;255334
20200826;;;;;254002
20200826;;;;;254986
20200826;;;;;255328
20200826;;;;;254227
20200826;;;;;256919
20200826;;;;;259168
20200826;;;;;260468
20200826;;;;;258368
20200826;;;;;260375
20200827;;;;;260113
20200827;;;;;257063
20200827;;;;;258549
20200827;;;;;258972
20200827;;;;;259284
20200827;;;;;258857
20200827;;;;;257397
20200827;;;;;258933
20200827;;;;;258578
20200827;;;;;254629
20200827;;;;;256456
20200827;;;;;256310
20200827;;;;;256242
20200828;;;;;256012
20200828;;;;;254694
20200828;;;;;254800
20200828;;;;;253620
20200828;;;;;254715
20200828;;;;;255461
20200828;;;;;253986
20200828;;;;;253986
20200828;;;;;253500
20200828;;;;;252805
20200828;;;;;251892
20200829;;;;;253541
20200831;;;;;253840
20200831;;;;;252323
20200831;;;;;253600
20200831;;;;;254074
20200831;;;;;253500
20200831;;;;;253500
20200831;;;;;253505
20200831;;;;;253381
20200831;;;;;258400
20200831;;;;;258400
20200831;;;;;259025
20200831;;;;;256200
20200901;;;;;257439
20200901;;;;;257600
20200901;;;;;257272
20200901;;;;;258000
20200901;;;;;257593
20200901;;;;;257387
20200901;;;;;257373
20200901;;;;;258000
20200901;;;;;257836
20200901;;;;;257215
20200902;;;;;258154
20200902;;;;;261466
20200902;;;;;262594
20200902;;;;;263000
20200902;;;;;262347
20200902;;;;;264805
20200902;;;;;266564
20200902;;;;;263885
20200902;;;;;265338
20200902;;;;;265893
20200902;;;;;266000
20200902;;;;;265927
20200903;;;;;267612
20200903;;;;;265391
20200903;;;;;266870
20200903;;;;;264500
20200903;;;;;264597
20200903;;;;;263809
20200903;;;;;262980
20200903;;;;;259755
20200903;;;;;256132
20200903;;;;;255000
20200903;;;;;252296
20200903;;;;;252350
20200903;;;;;251168
20200903;;;;;251765
20200904;;;;;255383
20200904;;;;;252054
20200904;;;;;252054
20200904;;;;;252837
20200904;;;;;250000
20200904;;;;;249893
20200904;;;;;246259
20200904;;;;;240678
20200904;;;;;246391
20200904;;;;;246200
20200904;;;;;244000
20200904;;;;;246831
20200904;;;;;248004
20200905;;;;;253115
20200908;;;;;249072
20200908;;;;;248721
20200908;;;;;244883
20200908;;;;;242671
20200908;;;;;244500
20200908;;;;;241477
20200908;;;;;243000
20200908;;;;;245242
20200908;;;;;243742
20200908;;;;;243500
20200908;;;;;243947
20200908;;;;;240600
20200908;;;;;241340
20200909;;;;;241359
20200909;;;;;242338
20200909;;;;;243000
20200909;;;;;242338
20200909;;;;;242495
20200909;;;;;241519
20200909;;;;;246000
20200909;;;;;245350
20200909;;;;;248464
20200909;;;;;246683
20200909;;;;;248175
20200909;;;;;248549
20200910;;;;;247559
20200910;;;;;245169
20200910;;;;;246657
20200910;;;;;246657
20200910;;;;;245901
20200910;;;;;247335
20200910;;;;;248751
20200910;;;;;248751
20200910;;;;;247000
20200910;;;;;245000
20200910;;;;;241500
20200910;;;;;239667
20200911;;;;;239657
20200911;;;;;242588
20200911;;;;;242348
20200911;;;;;241509
20200911;;;;;240864
20200911;;;;;239815
20200911;;;;;238000
20200911;;;;;236887
20200911;;;;;236400
20200911;;;;;234323
20200911;;;;;232867
20200911;;;;;233757
20200911;;;;;235061
20200914;;;;;237872
20200914;;;;;236730
20200914;;;;;237630
20200914;;;;;240000
20200914;;;;;239158
20200914;;;;;239000
20200914;;;;;238000
20200914;;;;;238000
20200914;;;;;235000
20200914;;;;;233995
20200914;;;;;234766
20200914;;;;;233589
20200915;;;;;238000
20200915;;;;;235200
20200915;;;;;236278
20200915;;;;;235250
20200915;;;;;235500
20200915;;;;;235500
20200915;;;;;236250
20200915;;;;;234257
20200915;;;;;235033
20200915;;;;;236421
20200915;;;;;236456
20200915;;;;;236191
20200915;;;;;236200
20200916;;;;;237511
20200916;;;;;238500
20200916;;;;;239000
20200916;;;;;239000
20200916;;;;;237102
20200916;;;;;238550
20200916;;;;;236000
20200916;;;;;234500
20200916;;;;;234500
20200916;;;;;234500
20200916;;;;;234497
20200916;;;;;235295
20200916;;;;;232100
20200917;;;;;235000
20200917;;;;;230928
20200917;;;;;228416
20200917;;;;;229699
20200917;;;;;228417
20200917;;;;;227289
20200917;;;;;226678
20200917;;;;;226813
20200917;;;;;226000
20200917;;;;;225822
20200917;;;;;224791
20200917;;;;;225699
20200917;;;;;224725
20200917;;;;;226548
20200918;;;;;227200
