<DATE>;;;;;close
20190817;;;;;32,2593
20190820;;;;;32,3027
20190824;;;;;31,9042
20190827;;;;;32,0774
20190828;;;;;32,0689
20190829;;;;;31,9722
20190830;;;;;31,9044
20190831;;;;;31,6768
20190903;;;;;31,6396
20190904;;;;;31,5823
20190905;;;;;31,4154
20190906;;;;;31,2928
20190907;;;;;31,2906
20190910;;;;;31,255
20190911;;;;;31,2972
20190912;;;;;31,4004
20190913;;;;;31,4765
20190914;;;;;31,4432
20190917;;;;;31,2175
20190918;;;;;31,2695
20190919;;;;;31,3142
20190920;;;;;31,2886
20190921;;;;;31,2953
20190924;;;;;31,2355
20190925;;;;;30,9267
20190926;;;;;30,9396
20190927;;;;;30,9781
20190928;;;;;31,0586
20191001;;;;;31,1266
20191002;;;;;31,2402
20191003;;;;;31,287
20191004;;;;;31,2995
20191005;;;;;31,3247
20191008;;;;;31,3153
20191009;;;;;31,3656
20191010;;;;;31,4801
20191011;;;;;31,4158
20191012;;;;;31,3393
20191015;;;;;31,3915
20191016;;;;;31,3652
20191017;;;;;31,4034
20191018;;;;;31,4104
20191019;;;;;31,3778
20191022;;;;;31,2966
20191023;;;;;31,222
20191024;;;;;31,2682
20191025;;;;;31,261
20191026;;;;;31,2927
20191029;;;;;31,2063
20191030;;;;;31,006
20191031;;;;;31,1168
20191101;;;;;31,099
20191102;;;;;31,1908
20191106;;;;;31,0085
20191107;;;;;31,1248
20191108;;;;;31,2171
20191109;;;;;31,2048
20191112;;;;;31,1964
20191113;;;;;31,1463
20191114;;;;;31,2337
20191115;;;;;31,2458
20191116;;;;;31,2076
20191119;;;;;31,1726
20191120;;;;;31,2368
20191121;;;;;31,2299
20191122;;;;;31,1916
20191123;;;;;31,0902
20191126;;;;;30,9472
20191127;;;;;30,8489
20191128;;;;;30,4427
20191129;;;;;30,3391
20191130;;;;;30,4022
20191203;;;;;30,5491
20191204;;;;;30,4097
20191205;;;;;30,302
20191206;;;;;30,1377
20191207;;;;;30,1384
20191210;;;;;30,1198
20191211;;;;;30,1079
20191212;;;;;30,0702
20191213;;;;;29,9946
20191214;;;;;29,7736
20191217;;;;;29,8401
20191218;;;;;29,7434
20191219;;;;;29,725
20191220;;;;;29,7258
20191221;;;;;29,7219
20191224;;;;;29,7136
20191225;;;;;29,6642
20191226;;;;;29,5988
20191227;;;;;29,4272
20191228;;;;;29,4855
20191231;;;;;29,4257
20200101;;;;;29,3545
20200110;;;;;28,903
20200111;;;;;28,88
20200114;;;;;28,8413
20200115;;;;;28,9593
20200116;;;;;28,9177
20200117;;;;;28,9725
20200118;;;;;28,9814
20200121;;;;;28,9876
20200122;;;;;29,1866
20200123;;;;;29,2264
20200124;;;;;29,3206
20200125;;;;;29,2587
20200128;;;;;29,4228
20200129;;;;;29,5004
20200130;;;;;29,3368
20200131;;;;;29,4919
20200201;;;;;29,5495
20200204;;;;;29,7279
20200205;;;;;29,5551
20200206;;;;;29,3342
20200207;;;;;29,0421
20200208;;;;;29,1423
20200211;;;;;29,1804
20200212;;;;;29,2298
20200213;;;;;28,7952
20200214;;;;;28,8954
20200215;;;;;28,8452
20200218;;;;;28,8645
20200219;;;;;28,931
20200220;;;;;28,9107
20200221;;;;;28,9168
20200222;;;;;29,0849
20200226;;;;;29,1401
20200227;;;;;29,2934
20200228;;;;;29,3635
20200229;;;;;29,9347
20200303;;;;;29,686
20200304;;;;;29,7141
20200305;;;;;29,6037
20200306;;;;;29,5946
20200307;;;;;30,1592
20200311;;;;;31,0877
20200312;;;;;30,8588
20200313;;;;;31,5359
20200314;;;;;31,3038
20200317;;;;;31,3417
20200318;;;;;31,2773
20200319;;;;;31,6253
20200320;;;;;31,4489
20200321;;;;;30,3332
20200324;;;;;30,6045
20200325;;;;;30,1608
20200326;;;;;30,1674
20200327;;;;;30,4594
20200328;;;;;30,1979
20200407;;;;;29,7155
20200408;;;;;29,5612
20200409;;;;;29,6989
20200410;;;;;29,644
20200411;;;;;29,8541
20200414;;;;;29,9026
20200415;;;;;29,8818
20200416;;;;;30,0814
20200417;;;;;30,4636
20200418;;;;;30,2677
20200421;;;;;30,5082
20200422;;;;;30,7064
20200423;;;;;30,897
20200424;;;;;30,4709
20200425;;;;;30,3281
20200428;;;;;30,3137
20200429;;;;;30,2825
20200430;;;;;30,2402
20200501;;;;;30,1832
20200507;;;;;30,1545
20200508;;;;;30,1632
20200509;;;;;30,2607
20200513;;;;;30,1175
20200514;;;;;30,0653
20200515;;;;;30,1385
20200516;;;;;29,9385
20200519;;;;;29,9687
20200520;;;;;29,9511
20200521;;;;;30,0333
20200522;;;;;29,7413
20200523;;;;;29,929
20200526;;;;;29,8268
20200527;;;;;29,6198
20200528;;;;;29,5041
20200529;;;;;29,4439
20200530;;;;;29,3516
20200602;;;;;29,0198
20200603;;;;;28,7466
20200604;;;;;28,6234
20200605;;;;;28,7707
20200606;;;;;28,8248
20200609;;;;;28,8298
20200610;;;;;28,8682
20200611;;;;;28,9504
20200612;;;;;29,1248
20200616;;;;;29,4749
20200617;;;;;29,3583
20200618;;;;;29,1844
20200619;;;;;29,212
20200620;;;;;29,2617
20200623;;;;;29,2501
20200624;;;;;29,0454
20200625;;;;;29,0062
20200626;;;;;29,1788
20200627;;;;;28,9859
20200630;;;;;29,1282
20200701;;;;;29,2106
20200702;;;;;29,0683
20200703;;;;;29,144
20200704;;;;;29,0183
20200707;;;;;29,2861
20200708;;;;;29,5194
20200709;;;;;29,1791
20200710;;;;;29,1615
20200711;;;;;29,3755
20200714;;;;;29,254
20200715;;;;;29,383
20200716;;;;;29,4999
20200717;;;;;29,6932
20200718;;;;;29,8908
20200721;;;;;30,0033
20200722;;;;;29,7094
20200723;;;;;29,703
20200724;;;;;29,7764
20200725;;;;;29,9734
20200728;;;;;29,9494
20200729;;;;;29,9254
20200730;;;;;29,8874
20200731;;;;;30,0817
20200801;;;;;30,089
20200804;;;;;30,3506
20200805;;;;;30,0359
20200806;;;;;30,0429
20200807;;;;;29,9355
20200808;;;;;30,0795
20200811;;;;;29,9254
20200812;;;;;29,7924
20200813;;;;;29,7885
20200814;;;;;29,9202
20200815;;;;;29,7758
20200818;;;;;29,6701
20200819;;;;;29,7863
20200820;;;;;29,6563
20200821;;;;;29,6269
20200822;;;;;29,3407
20200825;;;;;29,0583
20200826;;;;;28,5806
20200827;;;;;28,5081
20200828;;;;;28,2574
20200829;;;;;28,0215
20200901;;;;;27,7866
20200902;;;;;27,9207
20200903;;;;;27,9176
20200904;;;;;28,5496
20200905;;;;;28,5084
20200908;;;;;28,6851
20200909;;;;;28,8039
20200910;;;;;28,8992
20200911;;;;;28,8879
20200912;;;;;28,8392
20200915;;;;;28,8341
20200916;;;;;29,0359
20200917;;;;;29,0767
