<DATE>;;;;;close
20200824;;;;;20172
20200825;;;;;20500
20200825;;;;;20465
20200825;;;;;20513
20200825;;;;;20518
20200825;;;;;20483
20200825;;;;;20420
20200825;;;;;20463
20200825;;;;;20513
20200825;;;;;20673
20200825;;;;;20979
20200825;;;;;21078
20200825;;;;;21150
20200825;;;;;21241
20200825;;;;;21148
20200826;;;;;21275
20200826;;;;;21425
20200826;;;;;21513
20200826;;;;;21500
20200826;;;;;21550
20200826;;;;;21376
20200826;;;;;21524
20200826;;;;;21792
20200826;;;;;22531
20200826;;;;;22362
20200826;;;;;22400
20200826;;;;;22650
20200826;;;;;22523
20200826;;;;;23035
20200827;;;;;23090
20200827;;;;;22850
20200827;;;;;22779
20200827;;;;;22775
20200827;;;;;22822
20200827;;;;;22809
20200827;;;;;22711
20200827;;;;;22313
20200827;;;;;22352
20200827;;;;;22340
20200827;;;;;22056
20200827;;;;;22086
20200827;;;;;22144
20200827;;;;;22017
20200828;;;;;22100
20200828;;;;;21999
20200828;;;;;21875
20200828;;;;;21875
20200828;;;;;21802
20200828;;;;;21880
20200828;;;;;21870
20200828;;;;;21874
20200828;;;;;21726
20200828;;;;;21916
20200828;;;;;21731
20200828;;;;;21670
20200828;;;;;21597
20200828;;;;;21751
20200829;;;;;22123
20200831;;;;;21923
20200831;;;;;21982
20200831;;;;;22005
20200831;;;;;22033
20200831;;;;;22016
20200831;;;;;21805
20200831;;;;;21867
20200831;;;;;22000
20200831;;;;;22134
20200831;;;;;22120
20200831;;;;;21908
20200831;;;;;21850
20200831;;;;;21802
20200901;;;;;22000
20200901;;;;;21749
20200901;;;;;21753
20200901;;;;;21898
20200901;;;;;21921
20200901;;;;;21821
20200901;;;;;21821
20200901;;;;;21762
20200901;;;;;21895
20200901;;;;;21845
20200901;;;;;21801
20200901;;;;;21932
20200901;;;;;21894
20200901;;;;;21790
20200902;;;;;22171
20200902;;;;;22098
20200902;;;;;22150
20200902;;;;;22150
20200902;;;;;22150
20200902;;;;;22154
20200902;;;;;22196
20200902;;;;;22536
20200902;;;;;22270
20200902;;;;;22523
20200902;;;;;22601
20200902;;;;;22684
20200902;;;;;22755
20200903;;;;;22450
20200903;;;;;22620
20200903;;;;;22731
20200903;;;;;22689
20200903;;;;;22653
20200903;;;;;22578
20200903;;;;;22450
20200903;;;;;22135
20200903;;;;;21847
20200903;;;;;21890
20200903;;;;;21710
20200903;;;;;21856
20200903;;;;;21600
20200903;;;;;21740
20200904;;;;;21913
20200904;;;;;21893
20200904;;;;;21674
20200904;;;;;21648
20200904;;;;;21706
20200904;;;;;21532
20200904;;;;;21575
20200904;;;;;21230
20200904;;;;;20989
20200904;;;;;21250
20200904;;;;;21240
20200904;;;;;21133
20200904;;;;;21448
20200904;;;;;21350
20200905;;;;;21290
20200908;;;;;21360
20200908;;;;;21000
20200908;;;;;20900
20200908;;;;;20915
20200908;;;;;20750
20200908;;;;;20705
20200908;;;;;21271
20200908;;;;;21053
20200908;;;;;20981
20200908;;;;;21033
20200908;;;;;21009
20200908;;;;;20700
20200908;;;;;20700
20200909;;;;;20660
20200909;;;;;20948
20200909;;;;;21038
20200909;;;;;21023
20200909;;;;;20987
20200909;;;;;20856
20200909;;;;;20780
20200909;;;;;20550
20200909;;;;;20950
20200909;;;;;20792
20200909;;;;;20971
20200909;;;;;20605
20200909;;;;;20651
20200909;;;;;20690
20200910;;;;;20550
20200910;;;;;20682
20200910;;;;;20603
20200910;;;;;20603
20200910;;;;;20547
20200910;;;;;20520
20200910;;;;;20692
20200910;;;;;20367
20200910;;;;;20566
20200910;;;;;20770
20200910;;;;;20570
20200910;;;;;20560
20200910;;;;;20348
20200910;;;;;20198
20200911;;;;;20216
20200911;;;;;20358
20200911;;;;;20379
20200911;;;;;20370
20200911;;;;;20300
20200911;;;;;20300
20200911;;;;;20249
20200911;;;;;19989
20200911;;;;;20274
20200911;;;;;20078
20200911;;;;;19943
20200911;;;;;19770
20200911;;;;;19973
20200911;;;;;20000
20200912;;;;;19927
20200914;;;;;20306
20200914;;;;;20232
20200914;;;;;20241
20200914;;;;;20398
20200914;;;;;20471
20200914;;;;;20440
20200914;;;;;20583
20200914;;;;;20728
20200914;;;;;20568
20200914;;;;;20425
20200914;;;;;20241
20200914;;;;;20204
20200914;;;;;20037
20200915;;;;;20089
20200915;;;;;20300
20200915;;;;;20164
20200915;;;;;20229
20200915;;;;;20206
20200915;;;;;20246
20200915;;;;;20349
20200915;;;;;20536
20200915;;;;;20510
20200915;;;;;20456
20200915;;;;;20485
20200915;;;;;20498
20200915;;;;;20426
20200915;;;;;20420
20200916;;;;;20420
20200916;;;;;20291
20200916;;;;;20262
20200916;;;;;20150
20200916;;;;;20133
20200916;;;;;20102
20200916;;;;;20128
20200916;;;;;20277
20200916;;;;;20133
20200916;;;;;20141
20200916;;;;;19925
20200916;;;;;19900
20200916;;;;;19850
20200916;;;;;19832
20200917;;;;;19925
20200917;;;;;19577
20200917;;;;;19649
20200917;;;;;19664
20200917;;;;;19619
20200917;;;;;19480
20200917;;;;;19519
20200917;;;;;19539
20200917;;;;;19544
20200917;;;;;19261
20200917;;;;;19066
20200917;;;;;19090
20200917;;;;;18954
20200917;;;;;19150
20200918;;;;;19230
