<DATE>;;;;;close
20190817;;;;;10217,79
20190818;;;;;10315,48
20190819;;;;;10920
20190820;;;;;10769,09
20190821;;;;;10130
20190822;;;;;10107,15
20190823;;;;;10410,85
20190824;;;;;10147,96
20190825;;;;;10138,72
20190826;;;;;10361,65
20190827;;;;;10171,85
20190828;;;;;9714,31
20190829;;;;;9495
20190830;;;;;9582,42
20190831;;;;;9600,86
20190901;;;;;9766,52
20190902;;;;;10381,26
20190903;;;;;10628,48
20190904;;;;;10581,84
20190905;;;;;10574,73
20190906;;;;;10308,92
20190907;;;;;10484,37
20190908;;;;;10398,97
20190909;;;;;10310
20190910;;;;;10093,01
20190911;;;;;10160,2
20190912;;;;;10423,72
20190913;;;;;10365,93
20190914;;;;;10360,25
20190915;;;;;10304,46
20190916;;;;;10262,54
20190917;;;;;10185,39
20190918;;;;;10155,26
20190919;;;;;10275,01
20190920;;;;;10168,85
20190921;;;;;9973,99
20190922;;;;;10026,8
20190923;;;;;9844,28
20190924;;;;;8530,01
20190925;;;;;8438,35
20190926;;;;;8060
20190927;;;;;8193,99
20190928;;;;;8217,47
20190929;;;;;8052,4
20190930;;;;;8304,96
20191001;;;;;8321,52
20191002;;;;;8381,72
20191003;;;;;8240,41
20191004;;;;;8156,67
20191005;;;;;8147,63
20191006;;;;;7859,79
20191007;;;;;8209
20191008;;;;;8180
20191009;;;;;8590
20191010;;;;;8587,5
20191011;;;;;8267,33
20191012;;;;;8309,03
20191013;;;;;8282,97
20191014;;;;;8355
20191015;;;;;8162,44
20191016;;;;;7993,54
20191017;;;;;8076,2
20191018;;;;;7954,16
20191019;;;;;7965,28
20191020;;;;;8236,12
20191021;;;;;8209,92
20191022;;;;;8024,72
20191023;;;;;7474,85
20191024;;;;;7430,87
20191025;;;;;8668
20191026;;;;;9259,78
20191027;;;;;9548,84
20191028;;;;;9226,5
20191029;;;;;9430,8
20191030;;;;;9164,44
20191031;;;;;9159,48
20191101;;;;;9253,12
20191102;;;;;9308,52
20191103;;;;;9206,52
20191104;;;;;9412,53
20191105;;;;;9322,09
20191106;;;;;9341,27
20191107;;;;;9198,84
20191108;;;;;8763,01
20191109;;;;;8807,89
20191110;;;;;9032,23
20191111;;;;;8721,54
20191112;;;;;8810
20191113;;;;;8758,34
20191114;;;;;8630
20191115;;;;;8457,48
20191116;;;;;8481
20191117;;;;;8500,01
20191118;;;;;8168,84
20191119;;;;;8123,36
20191120;;;;;8082,96
20191121;;;;;7616,46
20191122;;;;;7283,03
20191123;;;;;7329,29
20191124;;;;;6908,64
20191125;;;;;7127,01
20191126;;;;;7162,67
20191127;;;;;7523,72
20191128;;;;;7432,41
20191129;;;;;7760
20191130;;;;;7555,92
20191201;;;;;7404,27
20191202;;;;;7305,01
20191203;;;;;7302,94
20191204;;;;;7198,99
20191205;;;;;7393,54
20191206;;;;;7540,08
20191207;;;;;7502,19
20191208;;;;;7520
20191209;;;;;7337,51
20191210;;;;;7219,37
20191211;;;;;7201,23
20191212;;;;;7185,91
20191213;;;;;7249,9
20191214;;;;;7062,91
20191215;;;;;7111
20191216;;;;;6877,03
20191217;;;;;6616,62
20191218;;;;;7285,53
20191219;;;;;7149,12
20191220;;;;;7190
20191221;;;;;7143,01
20191222;;;;;7513,06
20191223;;;;;7310,79
20191224;;;;;7255,01
20191225;;;;;7192,12
20191226;;;;;7194,13
20191227;;;;;7245,83
20191228;;;;;7302,67
20191229;;;;;7384,89
20191230;;;;;7218
20191231;;;;;7165,72
20200101;;;;;7174,33
20200102;;;;;6945,02
20200103;;;;;7334,45
20200104;;;;;7348,63
20200105;;;;;7355,4
20200106;;;;;7764,63
20200107;;;;;8158,52
20200108;;;;;8045,51
20200109;;;;;7813,78
20200110;;;;;8198,09
20200111;;;;;8020
20200112;;;;;8180,81
20200113;;;;;8104,5
20200114;;;;;8815,69
20200115;;;;;8808,81
20200116;;;;;8714,76
20200117;;;;;8899,42
20200118;;;;;8909,32
20200119;;;;;8697,53
20200120;;;;;8628,89
20200121;;;;;8722,03
20200122;;;;;8660,38
20200123;;;;;8385,22
20200124;;;;;8427,26
20200125;;;;;8326,81
20200126;;;;;8595
20200127;;;;;8895,96
20200128;;;;;9394,5
20200129;;;;;9288,44
20200130;;;;;9503,08
20200131;;;;;9334,98
20200201;;;;;9380,18
20200202;;;;;9323,5
20200203;;;;;9280,49
20200204;;;;;9164,33
20200205;;;;;9613,82
20200206;;;;;9763,01
20200207;;;;;9808,05
20200208;;;;;9905,64
20200209;;;;;10168,35
20200210;;;;;9851,78
20200211;;;;;10270,01
20200212;;;;;10351,13
20200213;;;;;10236,49
20200214;;;;;10371,33
20200215;;;;;9911,22
20200216;;;;;9921
20200217;;;;;9700
20200218;;;;;10188,04
20200219;;;;;9600,08
20200220;;;;;9610,05
20200221;;;;;9695,66
20200222;;;;;9668,23
20200223;;;;;9965,01
20200224;;;;;9660
20200225;;;;;9305
20200226;;;;;8778,3
20200227;;;;;8812,49
20200228;;;;;8708,89
20200229;;;;;8525,07
20200301;;;;;8522,31
20200302;;;;;8915
20200303;;;;;8757,84
20200304;;;;;8760,66
20200305;;;;;9070,17
20200306;;;;;9158,51
20200307;;;;;8901,37
20200308;;;;;8037,76
20200309;;;;;7934,52
20200310;;;;;7894,68
20200311;;;;;7938,05
20200312;;;;;4857,1
20200313;;;;;5637,6
20200314;;;;;5165,25
20200315;;;;;5345,35
20200316;;;;;5037,61
20200317;;;;;5331,71
20200318;;;;;5413,64
20200319;;;;;6186,26
20200320;;;;;6206,1
20200321;;;;;6198,78
20200322;;;;;5818,25
20200323;;;;;6490,63
20200324;;;;;6766,64
20200325;;;;;6690,96
20200326;;;;;6758,18
20200327;;;;;6372,36
20200328;;;;;6251,82
20200329;;;;;5877,21
20200330;;;;;6406,4
20200331;;;;;6424,35
20200401;;;;;6666,11
20200402;;;;;6804,52
20200403;;;;;6741,99
20200404;;;;;6874,77
20200405;;;;;6778,25
20200406;;;;;7341,56
20200407;;;;;7200,01
20200408;;;;;7370,11
20200409;;;;;7293,24
20200410;;;;;6871,91
20200411;;;;;6889,65
20200412;;;;;6908,13
20200413;;;;;6861,21
20200414;;;;;6877,37
20200415;;;;;6624,12
20200416;;;;;7112,64
20200417;;;;;7037,46
20200418;;;;;7261,76
20200419;;;;;7130,71
20200420;;;;;6838,19
20200421;;;;;6853,68
20200422;;;;;7136,84
20200423;;;;;7488,83
20200424;;;;;7514,64
20200425;;;;;7547,61
20200426;;;;;7706,4
20200427;;;;;7789,77
20200428;;;;;7755,01
20200429;;;;;8793,75
20200430;;;;;8624,28
20200501;;;;;8829,42
20200502;;;;;8985,58
20200503;;;;;8909,95
20200504;;;;;8883,53
20200505;;;;;9028,79
20200506;;;;;9155,79
20200507;;;;;10004,77
20200508;;;;;9810
20200509;;;;;9537,21
20200510;;;;;8729,86
20200511;;;;;8572,4
20200512;;;;;8821,42
20200513;;;;;9321,26
20200514;;;;;9795,34
20200515;;;;;9312,1
20200516;;;;;9383,16
20200517;;;;;9676,63
20200518;;;;;9728,52
20200519;;;;;9783,76
20200520;;;;;9509,41
20200521;;;;;9061,96
20200522;;;;;9168,84
20200523;;;;;9181,76
20200524;;;;;8715,73
20200525;;;;;8899,31
20200526;;;;;8844,42
20200527;;;;;9208,53
20200528;;;;;9581,095
20200529;;;;;9423,84
20200530;;;;;9700,33
20200531;;;;;9446,57
20200601;;;;;10208,96
20200602;;;;;9522,46
20200603;;;;;9668,07
20200604;;;;;9788,03
20200605;;;;;9613,21
20200606;;;;;9671,7
20200607;;;;;9750,12
20200608;;;;;9781,51
20200609;;;;;9779,41
20200610;;;;;9894,04
20200611;;;;;9268,16
20200612;;;;;9464,17
20200613;;;;;9475
20200614;;;;;9325
20200615;;;;;9432,53
20200616;;;;;9526,25
20200617;;;;;9457,51
20200618;;;;;9376,14
20200619;;;;;9301,91
20200620;;;;;9355,74
20200621;;;;;9286,14
20200622;;;;;9690,74
20200623;;;;;9623,56
20200624;;;;;9285,91
20200625;;;;;9243,51
20200626;;;;;9155,42
20200627;;;;;9002,46
20200628;;;;;9113,24
20200629;;;;;9184,45
20200630;;;;;9136,2
20200701;;;;;9239,97
