<DATE>;;;;;close
20200824;;;;;15866
20200825;;;;;15900
20200825;;;;;18703
20200825;;;;;18703
20200825;;;;;18703
20200825;;;;;18703
20200825;;;;;18703
20200825;;;;;18357
20200825;;;;;16055
20200825;;;;;16128
20200825;;;;;16118
20200825;;;;;16146
20200825;;;;;16099
20200825;;;;;16111
20200825;;;;;16105
20200826;;;;;16400
20200826;;;;;16060
20200826;;;;;16135
20200826;;;;;16106
20200826;;;;;16170
20200826;;;;;16099
20200826;;;;;16112
20200826;;;;;16152
20200826;;;;;16177
20200826;;;;;16150
20200826;;;;;16188
20200826;;;;;16179
20200826;;;;;16178
20200826;;;;;16180
20200827;;;;;16179
20200827;;;;;16131
20200827;;;;;16077
20200827;;;;;16115
20200827;;;;;16147
20200827;;;;;16110
20200827;;;;;16090
20200827;;;;;16119
20200827;;;;;16183
20200827;;;;;16090
20200827;;;;;16035
20200827;;;;;16033
20200827;;;;;16020
20200827;;;;;15950
20200828;;;;;15900
20200828;;;;;16012
20200828;;;;;15967
20200828;;;;;15986
20200828;;;;;15935
20200828;;;;;15934
20200828;;;;;15892
20200828;;;;;15902
20200828;;;;;15940
20200828;;;;;15941
20200828;;;;;15997
20200828;;;;;15933
20200828;;;;;15981
20200828;;;;;16012
20200829;;;;;15933
20200831;;;;;15851
20200831;;;;;15885
20200831;;;;;15900
20200831;;;;;15900
20200831;;;;;15895
20200831;;;;;15951
20200831;;;;;15950
20200831;;;;;15915
20200831;;;;;15913
20200831;;;;;15910
20200831;;;;;15901
20200831;;;;;15904
20200831;;;;;15880
20200901;;;;;15850
20200901;;;;;15850
20200901;;;;;15832
20200901;;;;;15735
20200901;;;;;15703
20200901;;;;;15717
20200901;;;;;15600
20200901;;;;;15686
20200901;;;;;15598
20200901;;;;;15631
20200901;;;;;15641
20200901;;;;;15689
20200901;;;;;15671
20200901;;;;;15667
20200902;;;;;15650
20200902;;;;;15772
20200902;;;;;15769
20200902;;;;;15769
20200902;;;;;15771
20200902;;;;;15771
20200902;;;;;15702
20200902;;;;;16144
20200902;;;;;16310
20200902;;;;;16271
20200902;;;;;16250
20200902;;;;;16308
20200902;;;;;16314
20200902;;;;;16320
20200903;;;;;16122
20200903;;;;;16299
20200903;;;;;16350
20200903;;;;;16279
20200903;;;;;16300
20200903;;;;;16274
20200903;;;;;16293
20200903;;;;;16316
20200903;;;;;16306
20200903;;;;;16215
20200903;;;;;16105
20200903;;;;;16053
20200903;;;;;16030
20200903;;;;;16024
20200904;;;;;16054
20200904;;;;;16138
20200904;;;;;16140
20200904;;;;;16090
20200904;;;;;16100
20200904;;;;;16101
20200904;;;;;16223
20200904;;;;;16082
20200904;;;;;15986
20200904;;;;;16095
20200904;;;;;16057
20200904;;;;;16039
20200904;;;;;15982
20200905;;;;;16000
20200908;;;;;16245
20200908;;;;;16179
20200908;;;;;16179
20200908;;;;;16179
20200908;;;;;16230
20200908;;;;;16184
20200908;;;;;16251
20200908;;;;;16450
20200908;;;;;16427
20200908;;;;;16388
20200908;;;;;16484
20200908;;;;;16363
20200908;;;;;16334
20200909;;;;;16390
20200909;;;;;16250
20200909;;;;;16254
20200909;;;;;16256
20200909;;;;;16317
20200909;;;;;16268
20200909;;;;;16268
20200909;;;;;16317
20200909;;;;;16391
20200909;;;;;16351
20200909;;;;;16400
20200909;;;;;16415
20200909;;;;;16413
20200909;;;;;16246
20200910;;;;;16337
20200910;;;;;16337
20200910;;;;;16320
20200910;;;;;16280
20200910;;;;;16249
20200910;;;;;16220
20200910;;;;;16360
20200910;;;;;16276
20200910;;;;;16490
20200910;;;;;16361
20200910;;;;;16402
20200910;;;;;16423
20200910;;;;;16368
20200911;;;;;16375
20200911;;;;;16380
20200911;;;;;16317
20200911;;;;;16319
20200911;;;;;16365
20200911;;;;;16320
20200911;;;;;16401
20200911;;;;;16330
20200911;;;;;16329
20200911;;;;;16330
20200911;;;;;16350
20200911;;;;;16413
20200914;;;;;16432
20200914;;;;;16469
20200914;;;;;16542
20200914;;;;;16540
20200914;;;;;16550
20200914;;;;;16570
20200914;;;;;16627
20200914;;;;;16737
20200914;;;;;16619
20200914;;;;;16619
20200914;;;;;16554
20200914;;;;;16554
20200915;;;;;16658
20200915;;;;;16700
20200915;;;;;16700
20200915;;;;;16719
20200915;;;;;16700
20200915;;;;;16699
20200915;;;;;16700
20200915;;;;;16717
20200915;;;;;16721
20200915;;;;;16678
20200915;;;;;16661
20200915;;;;;16680
20200915;;;;;16676
20200915;;;;;16644
20200916;;;;;16688
20200916;;;;;16673
20200916;;;;;16700
20200916;;;;;16748
20200916;;;;;16739
20200916;;;;;16730
20200916;;;;;16730
20200916;;;;;16731
20200916;;;;;16752
20200916;;;;;16782
20200916;;;;;16804
20200916;;;;;16869
20200916;;;;;16925
20200916;;;;;16900
20200917;;;;;16934
20200917;;;;;16679
20200917;;;;;16851
20200917;;;;;16701
20200917;;;;;16676
20200917;;;;;16741
20200917;;;;;16756
20200917;;;;;16756
20200917;;;;;16786
20200917;;;;;16734
20200917;;;;;16683
20200917;;;;;16616
20200917;;;;;16621
20200917;;;;;16781
