<DATE>;;;;;close
20190818;;;;;0,01502
20190819;;;;;0,014892
20190820;;;;;0,015007
20190821;;;;;0,015159
20190822;;;;;0,015215
20190823;;;;;0,015107
20190825;;;;;0,015047
20190826;;;;;0,01508
20190827;;;;;0,015007
20190828;;;;;0,014934
20190829;;;;;0,014995
20190830;;;;;0,014954
20190901;;;;;0,014926
20190902;;;;;0,014936
20190903;;;;;0,014935
20190904;;;;;0,015064
20190905;;;;;0,015064
20190906;;;;;0,015158
20190908;;;;;0,015159
20190909;;;;;0,015215
20190910;;;;;0,015258
20190911;;;;;0,015245
20190912;;;;;0,015397
20190913;;;;;0,0155
20190915;;;;;0,015601
20190916;;;;;0,015584
20190917;;;;;0,015507
20190918;;;;;0,015527
20190919;;;;;0,015582
20190920;;;;;0,015575
20190922;;;;;0,01558
20190923;;;;;0,015631
20190924;;;;;0,015577
20190925;;;;;0,015538
20190926;;;;;0,015521
20190927;;;;;0,015423
20190929;;;;;0,015429
20190930;;;;;0,015375
20191001;;;;;0,015283
20191002;;;;;0,01529
20191003;;;;;0,015321
20191004;;;;;0,015432
20191006;;;;;0,015422
20191007;;;;;0,015349
20191008;;;;;0,015301
20191009;;;;;0,015328
20191010;;;;;0,015481
20191011;;;;;0,015528
20191013;;;;;0,015527
20191014;;;;;0,015515
20191015;;;;;0,015509
20191016;;;;;0,015557
20191017;;;;;0,015568
20191018;;;;;0,01564
20191020;;;;;0,015599
20191021;;;;;0,015641
20191022;;;;;0,015662
20191023;;;;;0,0156
20191024;;;;;0,015567
20191025;;;;;0,015614
20191027;;;;;0,01561
20191028;;;;;0,015655
20191029;;;;;0,015589
20191030;;;;;0,015639
20191031;;;;;0,015553
20191101;;;;;0,015696
20191103;;;;;0,015722
20191104;;;;;0,015712
20191105;;;;;0,015719
20191106;;;;;0,015622
20191107;;;;;0,015697
20191108;;;;;0,015637
20191110;;;;;0,015627
20191111;;;;;0,015616
20191112;;;;;0,015519
20191113;;;;;0,015505
20191114;;;;;0,015603
20191115;;;;;0,015637
20191117;;;;;0,015645
20191118;;;;;0,01561
20191119;;;;;0,015616
20191120;;;;;0,015628
20191121;;;;;0,015654
20191122;;;;;0,01562
20191124;;;;;0,015624
20191125;;;;;0,015597
20191126;;;;;0,015589
20191127;;;;;0,015585
20191128;;;;;0,015561
20191129;;;;;0,015501
20191201;;;;;0,015509
20191202;;;;;0,015536
20191203;;;;;0,015548
20191204;;;;;0,015612
20191205;;;;;0,015655
20191206;;;;;0,015665
20191208;;;;;0,015657
20191209;;;;;0,015696
20191210;;;;;0,015701
20191211;;;;;0,015755
20191212;;;;;0,015907
20191213;;;;;0,015873
20191215;;;;;0,015877
20191216;;;;;0,015966
20191217;;;;;0,015975
20191218;;;;;0,015922
20191219;;;;;0,015996
20191220;;;;;0,016025
20191222;;;;;0,015969
20191223;;;;;0,016004
20191224;;;;;0,016121
20191225;;;;;0,016145
20191226;;;;;0,016034
20191227;;;;;0,016079
20191229;;;;;0,016045
20191230;;;;;0,016087
20191231;;;;;0,0161
20200101;;;;;0,016121
20200102;;;;;0,016166
20200103;;;;;0,016065
20200105;;;;;0,016047
20200106;;;;;0,016138
20200107;;;;;0,016085
20200108;;;;;0,016275
20200109;;;;;0,016269
20200110;;;;;0,016343
20200112;;;;;0,016313
20200113;;;;;0,016302
20200114;;;;;0,016249
20200115;;;;;0,016249
20200116;;;;;0,01617
20200117;;;;;0,016199
20200119;;;;;0,016206
20200120;;;;;0,016192
20200121;;;;;0,016114
20200122;;;;;0,01611
20200123;;;;;0,016107
20200124;;;;;0,016049
20200126;;;;;0,016026
20200127;;;;;0,015847
